;css_title;css_district;lat;lng
0;Albaniensgade 4;Amager ;55.6629687;12.6150036
1;Bispebjerg Bakke 22;Bispebjerg ;55.714287;12.544606
2;Nesbyholmvej 1;Bronshoj ;55.6967862;12.5046889
3;Halvtolv 19;Christianshavn ;55.678067;12.605109
4;Solvgade 11;City ;55.68544739999999;12.5850568
5;Amalievej 1;Frederiksberg ;55.6795777;12.5433161
6;Esthersvej 34;Hellerup ;55.7309704;12.5659228
7;Husumvej (overfor 131);Husum ;55.7046643;12.4787843
8;Drechselsgade 13;Islands Brygge ;55.6571548;12.5684851
9;Orientkaj 4;Nordhavn ;55.711612;12.5952725
10;Bygmestervej 59;NordVest ;55.70464879999999;12.5368945
11;Egirsgade 65;Norrebro ;55.7009488;12.5486256
12;Borups Plads (overfor Stefansgade 73);Norrebro ;55.6910463;12.5395837
13;Arne Jacobsens Alle 7;Orestad ;55.6317174;12.5736554
14;Frederik Vs Vej 13  (Rigshospital P huset);Osterbro ;55.698862;12.565549
15;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);Soborg ;55.7349516;12.513523
16;Borgbjergsvej 43;Sydhavn ;55.6498214;12.5355941
17;Vigerslev Venge 60;Valby ;55.656498;12.489456
18;Dronninglundvej 12;Vanlose ;55.689496;12.489151
19;Westend 8;Vesterbro ;55.6718713;12.5516401